mac,timestamp,humidity,temperature,battery
cc:db:a7:92:ba:d0,2025-11-19 20:41:31,26.915752,21.3125,2.581495
cc:db:a7:92:ba:d0,2025-11-19 20:41:21,27.013433,21.3125,2.575854
cc:db:a7:92:ba:d0,2025-11-19 20:41:11,26.945055,21.3125,2.581172
cc:db:a7:92:ba:d0,2025-11-19 20:41:01,26.915752,21.3125,2.580366
cc:db:a7:92:ba:d0,2025-11-19 20:40:51,26.957268,21.3125,2.580527
cc:db:a7:92:ba:d0,2025-11-19 20:40:41,26.969475,21.3125,2.581817
cc:db:a7:92:ba:d0,2025-11-19 20:40:31,26.952379,21.3125,2.581495
cc:db:a7:92:ba:d0,2025-11-19 20:40:21,27.015871,21.3125,2.581817
cc:db:a7:92:ba:d0,2025-11-19 20:40:11,26.847374,21.3125,2.581333
cc:db:a7:92:ba:d0,2025-11-19 20:40:01,26.735043,21.3125,2.582623
cc:db:a7:92:ba:d0,2025-11-19 20:39:51,26.927959,21.3125,2.580527
cc:db:a7:92:ba:d0,2025-11-19 20:39:41,26.952379,21.25,2.5823
cc:db:a7:92:ba:d0,2025-11-19 20:39:15,26.969475,21.3125,2.580689
cc:db:a7:92:ba:d0,2025-11-19 20:39:05,26.940172,21.3125,2.587619
cc:db:a7:92:ba:d0,2025-11-19 20:38:55,26.920635,21.3125,2.585363
cc:db:a7:92:ba:d0,2025-11-19 20:38:45,26.886446,21.3125,2.586491
cc:db:a7:92:ba:d0,2025-11-19 20:38:35,27.145296,21.25,2.58504
cc:db:a7:92:ba:d0,2025-11-19 20:38:25,26.908428,21.25,2.586974
cc:db:a7:92:ba:d0,2025-11-19 20:38:15,26.89377,21.3125,2.585202
cc:db:a7:92:ba:d0,2025-11-19 20:38:05,26.881563,21.25,2.587136
cc:db:a7:92:ba:d0,2025-11-19 20:37:55,27.008545,21.25,2.583912
cc:db:a7:92:ba:d0,2025-11-19 20:37:45,26.967031,21.3125,2.585524
cc:db:a7:92:ba:d0,2025-11-19 20:37:35,26.945055,21.3125,2.58359
cc:db:a7:92:ba:d0,2025-11-19 20:37:25,26.920635,21.3125,2.587136
cc:db:a7:92:ba:d0,2025-11-19 20:36:59,27.069599,21.3125,2.586974
cc:db:a7:92:ba:d0,2025-11-19 20:36:49,26.969475,21.3125,2.588747
cc:db:a7:92:ba:d0,2025-11-19 20:36:39,26.984125,21.3125,2.591487
cc:db:a7:92:ba:d0,2025-11-19 20:36:29,26.959705,21.3125,2.59052
cc:db:a7:92:ba:d0,2025-11-19 20:36:19,26.837605,21.3125,2.587458
cc:db:a7:92:ba:d0,2025-11-19 20:36:09,26.986568,21.3125,2.592454
cc:db:a7:92:ba:d0,2025-11-19 20:35:59,26.844931,21.3125,2.593099
cc:db:a7:92:ba:d0,2025-11-19 20:35:49,27.11355,21.3125,2.585524
cc:db:a7:92:ba:d0,2025-11-19 20:35:39,26.998775,21.3125,2.592777
cc:db:a7:92:ba:d0,2025-11-19 20:35:29,26.962149,21.3125,2.59326
cc:db:a7:92:ba:d0,2025-11-19 20:35:19,26.942612,21.3125,2.593744
cc:db:a7:92:ba:d0,2025-11-19 20:35:09,26.971918,21.3125,2.593744
cc:db:a7:92:ba:d0,2025-11-19 20:34:45,26.989014,21.3125,2.591326
cc:db:a7:92:ba:d0,2025-11-19 20:34:35,27.03541,21.3125,2.595194
cc:db:a7:92:ba:d0,2025-11-19 20:34:25,26.888889,21.3125,2.598256
cc:db:a7:92:ba:d0,2025-11-19 20:34:15,26.937729,21.3125,2.596645
cc:db:a7:92:ba:d0,2025-11-19 20:34:05,26.910866,21.3125,2.59874
cc:db:a7:92:ba:d0,2025-11-19 20:33:55,27.006107,21.3125,2.596161
cc:db:a7:92:ba:d0,2025-11-19 20:33:45,26.923079,21.3125,2.596161
cc:db:a7:92:ba:d0,2025-11-19 20:33:35,26.923079,21.3125,2.595839
cc:db:a7:92:ba:d0,2025-11-19 20:33:25,27.013433,21.3125,2.597128
cc:db:a7:92:ba:d0,2025-11-19 20:33:15,26.923079,21.3125,2.597612
cc:db:a7:92:ba:d0,2025-11-19 20:33:05,26.949936,21.3125,2.59181
cc:db:a7:92:ba:d0,2025-11-19 20:32:55,26.940172,21.3125,2.595516
cc:db:a7:92:ba:d0,2025-11-19 20:32:29,27.008545,21.3125,2.599868
cc:db:a7:92:ba:d0,2025-11-19 20:32:19,26.90354,21.3125,2.599385
cc:db:a7:92:ba:d0,2025-11-19 20:32:09,26.90354,21.3125,2.599385
cc:db:a7:92:ba:d0,2025-11-19 20:31:59,27.040291,21.3125,2.599385
cc:db:a7:92:ba:d0,2025-11-19 20:31:49,26.947498,21.25,2.600835
cc:db:a7:92:ba:d0,2025-11-19 20:31:39,26.949936,21.25,2.600029
cc:db:a7:92:ba:d0,2025-11-19 20:31:29,26.993895,21.25,2.600996
cc:db:a7:92:ba:d0,2025-11-19 20:31:19,26.896214,21.25,2.601157
cc:db:a7:92:ba:d0,2025-11-19 20:31:09,26.940172,21.25,2.599385
cc:db:a7:92:ba:d0,2025-11-19 20:30:59,26.942612,21.25,2.601963
cc:db:a7:92:ba:d0,2025-11-19 20:30:49,26.930405,21.25,2.60019
cc:db:a7:92:ba:d0,2025-11-19 20:30:39,26.971918,21.25,2.60019
cc:db:a7:92:ba:d0,2025-11-19 20:30:14,26.920635,21.3125,2.601963
cc:db:a7:92:ba:d0,2025-11-19 20:30:04,27.003664,21.25,2.606315
cc:db:a7:92:ba:d0,2025-11-19 20:29:54,26.886446,21.25,2.605509
cc:db:a7:92:ba:d0,2025-11-19 20:29:44,26.874239,21.25,2.611311
cc:db:a7:92:ba:d0,2025-11-19 20:29:34,26.959705,21.25,2.609055
cc:db:a7:92:ba:d0,2025-11-19 20:29:24,27.08913,21.25,2.606637
cc:db:a7:92:ba:d0,2025-11-19 20:29:14,26.949936,21.25,2.608732
cc:db:a7:92:ba:d0,2025-11-19 20:29:04,26.884007,21.25,2.606798
cc:db:a7:92:ba:d0,2025-11-19 20:28:54,26.954824,21.25,2.608088
cc:db:a7:92:ba:d0,2025-11-19 20:28:44,26.947498,21.25,2.611634
cc:db:a7:92:ba:d0,2025-11-19 20:28:34,26.954824,21.25,2.608732
cc:db:a7:92:ba:d0,2025-11-19 20:28:24,26.942612,21.25,2.609216
cc:db:a7:92:ba:d0,2025-11-19 20:28:14,26.947498,21.25,2.610344
cc:db:a7:92:ba:d0,2025-11-19 20:27:16,26.962149,21.25,2.611795
cc:db:a7:92:ba:d0,2025-11-19 20:27:06,26.976799,21.25,2.611956
cc:db:a7:92:ba:d0,2025-11-19 20:26:56,26.954824,21.25,2.613407
cc:db:a7:92:ba:d0,2025-11-19 20:26:46,26.84005,21.1875,2.611795
cc:db:a7:92:ba:d0,2025-11-19 20:26:36,26.847374,21.25,2.613407
cc:db:a7:92:ba:d0,2025-11-19 20:26:26,27.07448,21.25,2.613407
cc:db:a7:92:ba:d0,2025-11-19 20:26:16,26.901096,21.25,2.612117
cc:db:a7:92:ba:d0,2025-11-19 20:26:06,26.935286,21.25,2.614535
cc:db:a7:92:ba:d0,2025-11-19 20:25:56,26.952379,21.25,2.614373
cc:db:a7:92:ba:d0,2025-11-19 20:25:46,27.130646,21.25,2.612278
cc:db:a7:92:ba:d0,2025-11-19 20:25:36,26.986568,21.1875,2.615018
cc:db:a7:92:ba:d0,2025-11-19 20:25:26,26.935286,21.1875,2.615502
cc:db:a7:92:ba:d0,2025-11-19 20:24:59,26.979244,21.1875,2.619531
cc:db:a7:92:ba:d0,2025-11-19 20:24:49,26.947498,21.25,2.619531
cc:db:a7:92:ba:d0,2025-11-19 20:24:39,26.937729,21.25,2.616952
cc:db:a7:92:ba:d0,2025-11-19 20:24:29,26.949936,21.25,2.620659
cc:db:a7:92:ba:d0,2025-11-19 20:24:19,26.930405,21.25,2.622432
cc:db:a7:92:ba:d0,2025-11-19 20:24:09,27.030527,21.25,2.621143
cc:db:a7:92:ba:d0,2025-11-19 20:23:59,26.971918,21.25,2.617275
cc:db:a7:92:ba:d0,2025-11-19 20:23:49,27.072037,21.25,2.617597
cc:db:a7:92:ba:d0,2025-11-19 20:23:39,26.954824,21.25,2.617597
cc:db:a7:92:ba:d0,2025-11-19 20:23:29,26.952379,21.25,2.618886
cc:db:a7:92:ba:d0,2025-11-19 20:23:19,26.957268,21.25,2.621465
cc:db:a7:92:ba:d0,2025-11-19 20:23:09,26.967031,21.25,2.621626
cc:db:a7:92:ba:d0,2025-11-19 20:22:41,26.905983,21.1875,2.625978
cc:db:a7:92:ba:d0,2025-11-19 20:22:31,26.959705,21.25,2.625978
cc:db:a7:92:ba:d0,2025-11-19 20:22:21,26.898659,21.25,2.625333
cc:db:a7:92:ba:d0,2025-11-19 20:22:11,27.015871,21.25,2.628718
cc:db:a7:92:ba:d0,2025-11-19 20:22:01,26.920635,21.3125,2.626945
cc:db:a7:92:ba:d0,2025-11-19 20:21:51,26.969475,21.25,2.625011
cc:db:a7:92:ba:d0,2025-11-19 20:21:41,26.957268,21.25,2.623883
cc:db:a7:92:ba:d0,2025-11-19 20:21:31,26.962149,21.3125,2.62356
cc:db:a7:92:ba:d0,2025-11-19 20:21:21,27.040291,21.25,2.624527
